"Symbol: ESH22",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2022-02-09 11:58:00,4569.25,4571.75,4569.25,4571.25,2,1621,
2022-02-09 11:59:00,4571.5,4571.5,4570.75,4571.25,0,1471,
2022-02-09 12:00:00,4571.25,4571.5,4569.75,4570.5,-0.75,1980,
2022-02-09 12:01:00,4570.5,4573.5,4570.5,4573,2.5,2921,
2022-02-09 12:02:00,4572.75,4573,4570.75,4571.5,-1.5,2680,
2022-02-09 12:03:00,4571.75,4571.75,4570.5,4570.75,-0.75,1273,
2022-02-09 12:04:00,4570.75,4571,4569.75,4570.5,-0.25,1547,
2022-02-09 12:05:00,4570.5,4570.5,4569,4569.5,-1,1369,
2022-02-09 12:06:00,4569.5,4571,4569.5,4570.75,1.25,1289,
2022-02-09 12:07:00,4570.75,4571.25,4570,4570.25,-0.5,907,
2022-02-09 12:08:00,4570.5,4570.5,4568.5,4569,-1.25,1495,
2022-02-09 12:09:00,4569,4569.5,4567.75,4569,0,1214,
2022-02-09 12:10:00,4569.25,4570.25,4569.25,4569.5,0.5,1019,
2022-02-09 12:11:00,4569.75,4569.75,4568.75,4569.25,-0.25,768,
2022-02-09 12:12:00,4569.5,4569.75,4567.75,4568,-1.25,953,
2022-02-09 12:13:00,4568.25,4568.5,4567.25,4567.75,-0.25,1213,
2022-02-09 12:14:00,4567.75,4567.75,4565.75,4566.25,-1.5,2034,
2022-02-09 12:15:00,4566.5,4567.25,4565.75,4566.75,0.5,1697,
2022-02-09 12:16:00,4567,4568,4566.5,4567.75,1,720,
2022-02-09 12:17:00,4568,4568.5,4567,4568,0.25,939,
2022-02-09 12:18:00,4568,4569.5,4567.75,4569,1,1248,
2022-02-09 12:19:00,4569.25,4569.25,4568.5,4568.75,-0.25,735,
2022-02-09 12:20:00,4568.75,4569.5,4568.25,4569.5,0.75,1317,
2022-02-09 12:21:00,4569.75,4570.5,4569,4569.5,0,1180,
2022-02-09 12:22:00,4569.5,4569.5,4568.75,4569.25,-0.25,752,
2022-02-09 12:23:00,4569.5,4570.5,4569.25,4569.75,0.5,819,
2022-02-09 12:24:00,4570,4570,4568,4568.5,-1.25,908,
2022-02-09 12:25:00,4568.5,4569.25,4568.25,4568.5,0,789,
2022-02-09 12:26:00,4568.5,4570.25,4567.75,4570,1.5,1014,
2022-02-09 12:27:00,4569.75,4570.75,4569.25,4569.25,-0.75,1159,
2022-02-09 12:28:00,4569.25,4569.75,4568.75,4569.25,0,995,
2022-02-09 12:29:00,4569.5,4570.5,4569.25,4570.25,1,994,
2022-02-09 12:30:00,4570.25,4571.75,4569.5,4571.75,1.5,1649,
2022-02-09 12:31:00,4571.5,4572.25,4571.5,4571.75,0,1527,
2022-02-09 12:32:00,4571.75,4572,4571.25,4571.5,-0.25,862,
2022-02-09 12:33:00,4571.5,4571.75,4570.5,4570.75,-0.75,1041,
2022-02-09 12:34:00,4571,4571.5,4570.25,4571,0.25,742,
2022-02-09 12:35:00,4571.25,4571.25,4569.5,4570,-1,1288,
2022-02-09 12:36:00,4570,4571,4569.75,4570.5,0.5,684,
2022-02-09 12:37:00,4570.5,4571.25,4570,4570.25,-0.25,762,
2022-02-09 12:38:00,4570.25,4570.5,4569,4569.75,-0.5,1122,
2022-02-09 12:39:00,4569.75,4570,4568.25,4568.5,-1.25,1006,
2022-02-09 12:40:00,4568.5,4569.25,4568,4568.25,-0.25,1145,
2022-02-09 12:41:00,4568.5,4569.75,4568.25,4569.25,1,879,
2022-02-09 12:42:00,4569.25,4570,4569,4569.75,0.5,703,
2022-02-09 12:43:00,4569.75,4570.75,4569.5,4570.5,0.75,728,
2022-02-09 12:44:00,4570.5,4572.5,4570.5,4571.75,1.25,1424,
2022-02-09 12:45:00,4571.75,4572,4570.75,4570.75,-1,1023,
2022-02-09 12:46:00,4570.75,4572.5,4570.75,4572.5,1.75,946,
2022-02-09 12:47:00,4572.25,4572.75,4571.5,4572.25,-0.25,1123,
2022-02-09 12:48:00,4572.25,4572.25,4571,4571.5,-0.75,1024,
2022-02-09 12:49:00,4571.5,4571.5,4570.75,4571,-0.5,581,
2022-02-09 12:50:00,4571,4572,4571,4571.5,0.5,1042,
2022-02-09 12:51:00,4571.5,4571.5,4570.75,4570.75,-0.75,763,
2022-02-09 12:52:00,4570.5,4572,4570.25,4571.5,0.75,1095,
2022-02-09 12:53:00,4571.5,4572,4570.75,4571.5,0,1139,
2022-02-09 12:54:00,4571.75,4571.75,4571,4571.5,0,1020,
2022-02-09 12:55:00,4571.5,4572.5,4571.25,4572.25,0.75,1114,
2022-02-09 12:56:00,4572,4572.5,4571.5,4571.5,-0.75,957,
2022-02-09 12:57:00,4571.5,4571.75,4570.25,4571.25,-0.25,946,
2022-02-09 12:58:00,4571.5,4571.75,4570.75,4571,-0.25,1083,
2022-02-09 12:59:00,4571.25,4572.75,4570.75,4572.25,1.25,1163,
2022-02-09 13:00:00,4572.5,4574,4572.25,4573.75,1.5,2757,
2022-02-09 13:01:00,4573.75,4574.5,4572.75,4573.75,0,1427,
